key,value
performance incentive scheme,tidak spesifik
formal and casual for friday,"formal, kasual"
company uniforms,seragam
company’s dress code,seragam
frc,tidak spesifik
official (formal),formal
"senin: batik dan celana bahan, selasa - jumat: kaos berkerah dan jeans",kasual
"mon - thu: uniform, friday: batik","seragam, formal"
formil (kemeja) dan batik (hari jumat),formal
rapi & sopan,kasual
fashionable,modis
executive casual,kasual cerdas
xlc uniform,seragam
medical scrub,seragam
casual ( no sandals ),kasual
combination of casual & business,"kasual, bisnis"
office casual,kasual bisnis
kemeja rapi sopan,bisnis
"casual (e.g. t-shirts, jeans, sport shoes)",kasual
rapih,kasual
office looks,bisnis
"bebas rapih, casual smart",kasual cerdas
seragam difasilitasi perusahaan,seragam
uniform bsp,seragam
casual or smart casual,kasual cerdas
seragam standar perusahaan,seragam
mix of both casual and business,"kasual, bisnis"
"formal in terms of meeting with other parties, casual in day to day","kasual, bisnis"
"formal: men(shirt, cloth pants, work shoes), woman (dress,skirt/pants,shoes)",kasual bisnis
"bebas, rapih dan sopan",kasual
busana kerja kasual,kasual
casual uniform,kasual
business ( media promotion ),bisnis
formal + batik,formal
thematic setiap hari berbeda tema yang bertujuan fun,tidak spesifik
casual business attire,kasual bisnis
sopan,kasual
"casual (t-shirts, polo shirts, shirts)",kasual
